"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig","Treatment1","Treatment2"
"c..Bleached...Heated......Non.bleached...Heated..","Bleached + Heated vs Non-bleached + Heated",1,0.0270231949406333,1.62956914618768,0.351991534142995,0.2,1,"","Bleached + Heated "," Non-bleached + Heated"
"c..Bleached...Heated......Heated.Water.Control..","Bleached + Heated vs Heated Water Control",1,0.136875912252667,8.2733607207678,0.6740908956394,0.1,1,"","Bleached + Heated "," Heated Water Control"
"c..Bleached...Heated......Bleached...Ambient..","Bleached + Heated vs Bleached + Ambient",1,0.0274056061688333,1.49067546017328,0.331949051627917,0.2,1,"","Bleached + Heated "," Bleached + Ambient"
"c..Bleached...Heated......Non.bleached...Ambient..","Bleached + Heated vs Non-bleached + Ambient",1,0.0607025085243333,5.68502345331368,0.586991191164186,0.1,1,"","Bleached + Heated "," Non-bleached + Ambient"
"c..Bleached...Heated......Ambient.Water.Control..","Bleached + Heated vs Ambient Water Control",1,0.112768454162933,11.4923373222074,0.792994053802285,0.1,1,"","Bleached + Heated "," Ambient Water Control"
"c..Non.bleached...Heated......Heated.Water.Control..","Non-bleached + Heated vs Heated Water Control",1,0.1733654288253,6.13404932276382,0.671558594223548,0.1,1,"","Non-bleached + Heated "," Heated Water Control"
"c..Non.bleached...Heated......Bleached...Ambient..","Non-bleached + Heated vs Bleached + Ambient",1,0.01931431770975,0.523666011578623,0.207502105736668,1,1,"","Non-bleached + Heated "," Bleached + Ambient"
"c..Non.bleached...Heated......Non.bleached...Ambient..","Non-bleached + Heated vs Non-bleached + Ambient",1,0.103401008380433,5.05857717936053,0.627725846234551,0.1,1,"","Non-bleached + Heated "," Non-bleached + Ambient"
"c..Non.bleached...Heated......Ambient.Water.Control..","Non-bleached + Heated vs Ambient Water Control",1,0.14742363319325,6.13636296631686,0.754189923891098,0.333333333333333,1,"","Non-bleached + Heated "," Ambient Water Control"
"c..Heated.Water.Control......Bleached...Ambient..","Heated Water Control vs Bleached + Ambient",1,0.1447288275927,4.81395026021836,0.616071269960175,0.1,1,"","Heated Water Control "," Bleached + Ambient"
"c..Heated.Water.Control......Non.bleached...Ambient..","Heated Water Control vs Non-bleached + Ambient",1,0.0945319210541667,4.86339172507799,0.548705492877806,0.1,1,"","Heated Water Control "," Non-bleached + Ambient"
"c..Heated.Water.Control......Ambient.Water.Control..","Heated Water Control vs Ambient Water Control",1,0.0427544900114,1.98929675943207,0.398712855809064,0.2,1,"","Heated Water Control "," Ambient Water Control"
"c..Bleached...Ambient......Non.bleached...Ambient..","Bleached + Ambient vs Non-bleached + Ambient",1,0.0825522211298333,3.71148175807091,0.553004819480834,0.1,1,"","Bleached + Ambient "," Non-bleached + Ambient"
"c..Bleached...Ambient......Ambient.Water.Control..","Bleached + Ambient vs Ambient Water Control",1,0.129408602648,4.84185269002409,0.707681516891449,0.333333333333333,1,"","Bleached + Ambient "," Ambient Water Control"
"c..Non.bleached...Ambient......Ambient.Water.Control..","Non-bleached + Ambient vs Ambient Water Control",1,0.0970233772847333,7.09744182714306,0.702895044967166,0.1,1,"","Non-bleached + Ambient "," Ambient Water Control"
